Series;Time;Value
Power;2015-06-06T20:06:30.000Z;1971.6639999999998
Power;2015-06-06T20:06:35.000Z;1957.66
Power;2015-06-06T20:06:40.000Z;1940.288
Power;2015-06-06T20:06:45.000Z;1936.3424999999997
Power;2015-06-06T20:06:50.000Z;1934.1840000000002
Power;2015-06-06T20:06:55.000Z;1933.554
Power;2015-06-06T20:07:00.000Z;1935.03
Power;2015-06-06T20:07:05.000Z;1935.2225
Power;2015-06-06T20:07:10.000Z;1935.292
Power;2015-06-06T20:07:15.000Z;1936.735
Power;2015-06-06T20:07:20.000Z;1938.972
Power;2015-06-06T20:07:25.000Z;1940.08
Power;2015-06-06T20:07:30.000Z;1938.25
Power;2015-06-06T20:07:35.000Z;1936.974
Power;2015-06-06T20:07:40.000Z;1937.8525
Power;2015-06-06T20:07:45.000Z;1944.7640000000001
Power;2015-06-06T20:07:50.000Z;1949.7625
Power;2015-06-06T20:07:55.000Z;1949.082
Power;2015-06-06T20:08:00.000Z;1949.24
Power;2015-06-06T20:08:05.000Z;1951.29
Power;2015-06-06T20:08:10.000Z;1949.3725
Power;2015-06-06T20:08:15.000Z;1949.658
Power;2015-06-06T20:08:20.000Z;1949.6325
Power;2015-06-06T20:08:25.000Z;1947.2920000000001
Power;2015-06-06T20:08:30.000Z;1947.395
Power;2015-06-06T20:08:35.000Z;1947.7140000000002
Power;2015-06-06T20:08:40.000Z;1946.2775
Power;2015-06-06T20:08:45.000Z;1946.1859999999997
Power;2015-06-06T20:08:50.000Z;1945.2224999999999
Power;2015-06-06T20:08:55.000Z;1944.71
Power;2015-06-06T20:09:00.000Z;1944.5
Power;2015-06-06T20:09:05.000Z;1946.0279999999998
Power;2015-06-06T20:09:10.000Z;1948.9099999999999
Power;2015-06-06T20:09:15.000Z;1950.658
Power;2015-06-06T20:09:20.000Z;1952.184
Power;2015-06-06T20:09:25.000Z;1951.4074999999998
Power;2015-06-06T20:09:30.000Z;1946.342
Power;2015-06-06T20:09:35.000Z;1957.3325000000002
Power;2015-06-06T20:09:40.000Z;1970.0839999999998
Power;2015-06-06T20:09:45.000Z;1970.4924999999998
Power;2015-06-06T20:09:50.000Z;1970.1859999999997
Power;2015-06-06T20:09:55.000Z;1969.965
Power;2015-06-06T20:10:00.000Z;1970.82
Power;2015-06-06T20:10:05.000Z;1973.7775
Power;2015-06-06T20:10:10.000Z;1977.2400000000002
Power;2015-06-06T20:10:15.000Z;1977.4
Power;2015-06-06T20:10:20.000Z;1979.7139999999997
Power;2015-06-06T20:10:25.000Z;1980.4020000000003
Power;2015-06-06T20:10:30.000Z;1977.9924999999998
Power;2015-06-06T20:10:35.000Z;1977.9800000000002
Power;2015-06-06T20:10:40.000Z;1977.9250000000002
Power;2015-06-06T20:10:45.000Z;1977.77
Power;2015-06-06T20:10:50.000Z;1976.3474999999999
Power;2015-06-06T20:10:55.000Z;1710.8220000000001
Power;2015-06-06T20:11:00.000Z;1044.42
Power;2015-06-06T20:11:05.000Z;18.466
Power;2015-06-06T20:11:10.000Z;16.75
Power;2015-06-06T20:11:15.000Z;16.933999999999997
Power;2015-06-06T20:11:20.000Z;10.963999999999999
Power;2015-06-06T20:11:25.000Z;11.465
Power;2015-06-06T20:11:30.000Z;10.858
Power;2015-06-06T20:11:35.000Z;10.077499999999999
Power;2015-06-06T20:11:40.000Z;11.44
Power;2015-06-06T20:11:45.000Z;9.815
Power;2015-06-06T20:11:50.000Z;11.017999999999999
Power;2015-06-06T20:11:55.000Z;9.746
Power;2015-06-06T20:12:00.000Z;11.33
Power;2015-06-06T20:12:05.000Z;11.465
Power;2015-06-06T20:12:10.000Z;11.492
Power;2015-06-06T20:12:15.000Z;11.438
Power;2015-06-06T20:12:20.000Z;11.532499999999999
Power;2015-06-06T20:12:25.000Z;11.438
Power;2015-06-06T20:12:30.000Z;11.8625
Power;2015-06-06T20:12:35.000Z;12.494
Power;2015-06-06T20:12:40.000Z;12.92
Power;2015-06-06T20:12:45.000Z;12.598
Power;2015-06-06T20:12:50.000Z;12.455
Power;2015-06-06T20:12:55.000Z;58.400000000000006
Power;2015-06-06T20:13:00.000Z;100.6
Power;2015-06-06T20:13:05.000Z;131.92200000000003
Power;2015-06-06T20:13:10.000Z;140.5425
Power;2015-06-06T20:13:15.000Z;142.84999999999997
Power;2015-06-06T20:13:20.000Z;84.69000000000001
Power;2015-06-06T20:13:25.000Z;5.7860000000000005
Power;2015-06-06T20:13:30.000Z;3.83
Power;2015-06-06T20:13:35.000Z;71.88250000000001
Power;2015-06-06T20:13:40.000Z;131.128
Power;2015-06-06T20:13:45.000Z;136.78
Power;2015-06-06T20:13:50.000Z;136.618
Power;2015-06-06T20:13:55.000Z;136.445
Power;2015-06-06T20:14:00.000Z;136.64499999999998
Power;2015-06-06T20:14:05.000Z;136.5775
Power;2015-06-06T20:14:10.000Z;136.618
Power;2015-06-06T20:14:15.000Z;136.564
Power;2015-06-06T20:14:20.000Z;136.51
Power;2015-06-06T20:14:25.000Z;136.35399999999998
Power;2015-06-06T20:14:30.000Z;136.25
Power;2015-06-06T20:14:35.000Z;136.25
Power;2015-06-06T20:14:40.000Z;136.055
Power;2015-06-06T20:14:45.000Z;136.042
Power;2015-06-06T20:14:50.000Z;136.042
Power;2015-06-06T20:14:55.000Z;135.99
Power;2015-06-06T20:15:00.000Z;135.99
Power;2015-06-06T20:15:05.000Z;135.99
Power;2015-06-06T20:15:10.000Z;135.99
Power;2015-06-06T20:15:15.000Z;136.12
Power;2015-06-06T20:15:20.000Z;136.042
Power;2015-06-06T20:15:25.000Z;136.042
Power;2015-06-06T20:15:30.000Z;136.25
Power;2015-06-06T20:15:35.000Z;136.356
Power;2015-06-06T20:15:40.000Z;202.6475
Power;2015-06-06T20:15:45.000Z;1077.43
Power;2015-06-06T20:15:50.000Z;1929.49
Power;2015-06-06T20:15:55.000Z;1979.8199999999997
Power;2015-06-06T20:16:00.000Z;1979.5
Power;2015-06-06T20:16:05.000Z;1983.2939999999999
Power;2015-06-06T20:16:10.000Z;1986.0825
Power;2015-06-06T20:16:15.000Z;1988.0840000000003
Power;2015-06-06T20:16:20.000Z;1988.6100000000001
Power;2015-06-06T20:16:25.000Z;1989.1125000000002
Power;2015-06-06T20:16:30.000Z;1990.716
Power;2015-06-06T20:16:35.000Z;1989.1125000000002
Power;2015-06-06T20:16:40.000Z;1984.9779999999998
Power;2015-06-06T20:16:45.000Z;1982.1375
Power;2015-06-06T20:16:50.000Z;1979.8179999999998
Power;2015-06-06T20:16:55.000Z;1977.242
Power;2015-06-06T20:17:00.000Z;1976.35
Power;2015-06-06T20:17:05.000Z;1974.4519999999998
Power;2015-06-06T20:17:10.000Z;1976.4099999999999
Power;2015-06-06T20:17:15.000Z;1977.926
Power;2015-06-06T20:17:20.000Z;1978.255
Power;2015-06-06T20:17:25.000Z;1980.3459999999998
Power;2015-06-06T20:17:30.000Z;1980.346
Power;2015-06-06T20:17:35.000Z;1977.8600000000001
Power;2015-06-06T20:17:40.000Z;1976.612
Power;2015-06-06T20:17:45.000Z;1976.2800000000002
Power;2015-06-06T20:17:50.000Z;1972.4540000000002
Power;2015-06-06T20:17:55.000Z;1952.5925
Power;2015-06-06T20:18:00.000Z;1946.87
Power;2015-06-06T20:18:05.000Z;1950.766
Power;2015-06-06T20:18:10.000Z;1951.0799999999997
Power;2015-06-06T20:18:15.000Z;1949.292
Power;2015-06-06T20:18:20.000Z;1948.7125
Power;2015-06-06T20:18:25.000Z;1948.766
Power;2015-06-06T20:18:30.000Z;1947.3999999999999
Power;2015-06-06T20:18:35.000Z;1944.498
Power;2015-06-06T20:18:40.000Z;1941.8025
Power;2015-06-06T20:18:45.000Z;1941.712
Power;2015-06-06T20:18:50.000Z;1943.0780000000002
Power;2015-06-06T20:18:55.000Z;1943.7075000000002
Power;2015-06-06T20:19:00.000Z;1943.4450000000002
